actorId,movieId,relationship
1,6,[Agent Smith]
0,6,[Morpheus]
179,6,[Trinity]
178,6,[Neo]
1,7,[Agent Smith]
0,7,[Morpheus]
179,7,[Trinity]
178,7,[Neo]
10,8,[John Milton]
9,8,[Mary Ann Lomax]
178,8,[Kevin Lomax]
25,12,[Man in Bar]
23,12,[Dr. Stone]
22,12,[Pfc. Louden Downey]
21,12,[Lt. Col. Matthew Andrew Markinson]
20,12,[Lt. Sam Weinberg]
19,12,[Cpl. Carl Hammaker]
18,12,[Cpl. Jeffrey Barnes]
17,12,[Lt. Jonathan Kendrick]
16,12,[Capt. Jack Ross]
15,12,[Lt. Cdr. JoAnne Galloway]
14,12,[Col. Nathan R. Jessup]
13,12,[Lt. Daniel Kaffee]
27,26,[Charlie]
13,26,[Maverick]
29,26,[Goose]
31,26,[Carole]
28,26,[Iceman]
30,26,[Viper]
41,34,[Ray Boyd]
36,34,[Avery Bishop]
38,34,[Bob Sugar]
35,34,[Dorothy Boyd]
39,34,[Laurel Boyd]
19,34,[Rod Tidwell]
40,34,[Marcee Tidwell]
13,34,[Jerry Maguire]
37,34,[Frank Cushman]
37,43,[Vern Tessio]
44,43,[Chris Chambers]
48,43,[Mr. Lachance]
17,43,[Ace Merrill]
45,43,[Teddy Duchamp]
46,43,[Gordie Lachance]
47,43,[Denny Lachance]
19,49,[Frank Sachs]
51,49,[Simon Bishop]
50,49,[Carol Connelly]
14,49,[Melvin Udall]
57,53,[Chris Nielsen]
56,53,[The Face]
54,53,[Annie Collins-Nielsen]
19,53,[Albert Lewis]
55,53,[The Tracker]
62,59,[Judge Fielding]
61,59,[Kazuo Miyamoto]
55,59,[Nels Gudmundsson]
60,59,[Ishmael Chambers]
66,64,[Kevin Jackson]
67,64,[George Pappas]
65,64,[Patricia Eden]
68,64,[Joe Fox]
31,64,[Kathleen Kelly]
51,64,[Frank Navasky]
168,70,[The Sandman]
72,70,[Walter]
74,70,[Becky]
68,70,[Sam Baldwin]
73,70,[Greg]
71,70,[Suzy]
31,70,[Annie Reed]
31,75,"[DeDe,Angelica Graynamore,Patricia Graynamore]"
68,75,[Joe Banks]
77,75,[Baw]
81,78,[Jess]
79,78,[Harry Burns]
80,78,[Marie]
31,78,[Sally Albright]
9,82,[Tina]
68,82,[Mr. White]
83,82,[Faye Dolan]
178,84,[Shane Falco]
85,84,[Annabelle Farrell]
86,84,[Jimmy McGinty]
87,84,[Clifford Franklin]
48,89,[Admiral]
67,89,[Duane]
91,89,[Squad Leader]
90,89,[Dieter Dengler]
77,92,[Albert Goldman]
86,92,[Sen. Kevin Keeley]
57,92,[Armand Goldman]
95,94,[English Bob]
96,94,[Bill Munny]
86,94,[Little Bill Daggett]
98,97,[Takahashi]
99,97,[Jane]
100,97,[J-Bone]
178,97,[Johnny Mnemonic]
103,102,"[Luisa Rey,Jocasta Ayrs,Ovid,Meronym]"
1,102,"[Bill Smoke,Haskell Moore,Tadeusz Kesselring,Nurse Noakes,Boardman Mephi,Old Georgie]"
68,102,"[Zachry,Dr. Henry Goose,Isaac Sachs,Dermot Hoggins]"
104,102,"[Vyvyan Ayrs,Captain Molyneux,Timothy Cavendish]"
110,108,[Sophie Neveu]
109,108,[Sir Leight Teabing]
111,108,[Silas]
68,108,[Dr. Robert Langdon]
116,113,[High Chancellor Adam Sutler]
1,113,[V]
114,113,[Evey Hammond]
117,113,[Dascomb]
115,113,[Eric Finch]
123,118,[Trixie]
119,118,[Speed Racer]
122,118,[Racer X]
120,118,[Pops]
117,118,[Cass Jones]
124,118,[Taejo Togokahn]
121,118,[Mom]
124,125,[Raizo]
117,125,[Ryan Maslow]
61,125,[Takeshi]
126,125,[Mika Coretti]
132,127,[Melinda Moores]
62,127,[Warden Hal Moores]
68,127,[Paul Edgecomb]
129,127,"[Brutus ""Brutal"" Howell]"
130,127,"[""Wild Bill"" Wharton]"
39,127,[Jan Edgecomb]
131,127,[Burt Hammersmith]
128,127,[John Coffey]
135,134,[Richard Nixon]
16,134,[Jack Brennan]
130,134,"[James Reston, Jr.]"
137,134,[Bob Zelnick]
136,134,[David Frost]
21,138,[Frank Fitzsimmons]
140,138,"[Peter ""Pete"" Connelly]"
139,138,"[Robert ""Bobby"" Ciaro]"
14,138,[Hoffa]
131,141,[Ken Mattingly]
142,141,[Gene Kranz]
143,141,[Fred Haise]
68,141,[Jim Lovell]
16,141,[Jack Swigert]
145,144,"[Dustin ""Dusty"" Davis]"
143,144,[Bill Harding]
91,144,[Eddie]
50,144,[Dr. Jo Harding]
68,147,[Chuck Noland]
50,147,[Kelly Frears]
139,149,[Martini]
14,149,[Randle McMurphy]
14,151,[Harry Sanborn]
178,151,[Julian Mercer]
152,151,[Erica Barry]
57,154,[Andrew Marin]
137,154,[Rupert Burns]
157,156,[Joanne Herring]
68,156,[Rep. Charlie Wilson]
145,156,[Gust Avrakotos]
68,158,"[Hero Boy,Father,Conductor,Hobo,Scrooge,Santa Claus]"
160,159,"[""All the Way"" Mae Mordabito]"
162,159,[Kit Keller]
143,159,[Bob Hinson]
161,159,[Dottie Hinson]
74,159,[Doris Murphy]
68,159,[Jimmy Dugan]
0,177,[Morpheus]
1,177,[Agent Smith]
179,177,[Trinity]
178,177,[Neo]
5,177,[Emil]